Stunde,GESAMT
0,7.1
1,6.9
2,7.5
3,7.9
4,9.0
5,10.4
6,10.9
7,10.4
8,10.4
9,10.5
10,10.2
11,10.2
12,10.0
13,10.3
14,10.7
15,11.4
16,10.8
17,11.4
18,10.9
19,10.8
20,10.3
21,9.4
22,8.6
23,6.5
24,6.6
25,6.5
26,7.1
27,7.6
28,8.8
29,10.1
30,10.3
31,10.9
32,11.5
33,12.0
34,10.9
35,9.6
36,9.2
37,9.3
38,9.4
39,10.5
40,11.5
41,11.4
42,11.7
43,11.6
44,11.3
45,10.9
46,9.5
47,7.6
48,7.5
49,8.0
50,7.5
51,8.2
52,9.3
53,10.8
54,9.5
55,10.0
56,11.1
57,11.1
58,10.7
59,10.4
60,11.1
61,10.3
62,10.1
63,10.8
64,11.1
65,11.0
66,10.8
67,11.2
68,9.9
69,9.3
70,8.5
71,6.7
72,7.1
73,7.3
74,7.5
75,7.9
76,8.3
77,9.9
78,9.7
79,9.8
80,10.4
81,10.8
82,10.9
83,10.7
84,10.9
85,11.0
86,10.9
87,10.8
88,10.7
89,10.7
90,10.4
91,10.3
92,10.1
93,9.1
94,7.9
95,6.2
96,7.6
97,7.6
98,9.0
99,9.3
100,10.4
101,11.5
102,13.2
103,12.9
104,13.2
105,12.3
106,11.9
107,11.3
108,10.8
109,10.5
110,10.5
111,11.7
112,12.8
113,12.9
114,12.3
115,11.9
116,12.0
117,11.0
118,9.8
119,9.0
120,9.4
121,9.4
122,10.0
123,10.5
124,11.9
125,12.7
126,14.3
127,14.7
128,15.2
129,14.7
130,13.3
131,12.8
132,11.3
133,12.4
134,12.7
135,12.7
136,13.6
137,14.1
138,12.8
139,12.4
140,12.0
141,11.3
142,9.7
143,7.9
144,8.5
145,9.1
146,9.2
147,9.4
148,10.3
149,12.4
150,12.7
151,13.4
152,13.8
153,13.1
154,11.7
155,11.0
156,10.4
157,10.5
158,10.6
159,11.6
160,12.7
161,13.0
162,12.4
163,12.0
164,11.8
165,11.0
166,9.4
167,7.8
168,8.4
169,9.6
170,9.7
171,10.2
172,11.2
173,11.8
174,15.5
175,14.8
176,15.5
177,14.5
178,12.4
179,11.6
180,11.5
181,11.7
182,11.5
183,12.1
184,13.0
185,13.3
186,12.3
187,12.2
188,11.8
189,10.4
190,8.7
191,7.0
192,7.2
193,7.6
194,8.1
195,9.3
196,10.2
197,11.8
198,12.5
199,12.9
200,12.8
201,12.2
202,11.5
203,10.9
204,10.6
205,11.2
206,11.1
207,11.2
208,11.6
209,10.7
210,10.6
211,10.5
212,10.4
213,9.3
214,8.1
215,6.2
216,6.3
217,6.2
218,6.6
219,6.9
220,7.2
221,9.8
222,9.1
223,9.5
224,10.1
225,10.4
226,9.9
227,9.5
228,9.5
229,9.5
230,9.5
231,9.9
232,11.1
233,11.2
234,10.7
235,10.9
236,10.4
237,10.1
238,8.9
